@relation polemon

@attribute grade {1, 2, 3}
@attribute city string
@attribute area string
@attribute chinese string
@attribute english string
@attribute math string
@attribute history string
@attribute geography string
@attribute citizen string
@attribute physics string
@attribute chemical string
@attribute biology string
@attribute earthscience string

@data
3,台中市,大里區,康熹,三民,?,南一,南一,三民,龍騰,泰宇,?,泰宇
3,台中市,大里區,康熹,三民,?,康熹,南一,翰林,全華,翰林,?,翰林
3,台中市,大雅區,三民,三民,?,翰林,龍騰,南一,翰林,龍騰,?,龍騰
3,台中市,太平區,翰林,三民,?,康熹,南一,翰林,南一,翰林,?,翰林
3,台中市,太平區,康熹,三民,?,三民,翰林,南一,翰林,康熹,?,康熹
3,台中市,北屯區,龍騰,龍騰,?,翰林,翰林,翰林,龍騰,翰林,?,康熹
3,台中市,北屯區,康熹,三民,?,翰林,翰林,翰林,龍騰,康熹,?,龍騰
3,台中市,北屯區,翰林,三民,?,南一,翰林,三民,龍騰,翰林,?,龍騰
3,台中市,北區,康熹,三民,?,南一,翰林,南一,翰林,龍騰,?,龍騰
3,台中市,北區,南一,三民,?,三民,龍騰,龍騰,南一,龍騰,?,龍騰
3,台中市,北區,翰林,三民,?,翰林,龍騰,南一,康熹,康熹,?,南一
3,台中市,北區,康熹,三民,?,三民,龍騰,全華,龍騰,康熹,?,龍騰
3,台中市,后里區,三民,龍騰,?,康熹,龍騰,三民,南一,翰林,?,龍騰
3,台中市,西屯區,南一,三民,?,康熹,翰林,三民,南一,龍騰,?,翰林
3,台中市,西屯區,康熹,三民,?,三民,翰林,龍騰,南一,龍騰,?,南一
3,台中市,西屯區,三民,三民,?,翰林,龍騰,龍騰,康熹,龍騰,?,龍騰
3,台中市,西區,翰林,龍騰,?,翰林,龍騰,三民,南一,泰宇,?,翰林
3,台中市,西區,康熹,三民,?,康熹,翰林,龍騰,龍騰,龍騰,?,翰林
3,台中市,南屯區,康熹,三民,?,三民,龍騰,翰林,翰林,龍騰,?,南一
3,台中市,南屯區,三民,三民,?,南一,翰林,三民,龍騰,南一,?,南一
3,台中市,南區,三民,三民,?,三民,翰林,龍騰,翰林,翰林,?,康熹
3,台中市,南區,龍騰,三民,?,南一,其他,南一,翰林,其他,?,翰林
3,台中市,烏日區,康熹,三民,?,康熹,龍騰,三民,龍騰,南一,?,康熹
3,台中市,梧棲區,康熹,遠東,?,南一,龍騰,翰林,南一,龍騰,?,龍騰
3,台中市,清水區,翰林,龍騰,?,翰林,翰林,南一,南一,翰林,?,翰林
3,台中市,新社區,翰林,龍騰,?,翰林,南一,龍騰,南一,翰林,?,翰林
3,台中市,潭子區,翰林,三民,?,三民,南一,南一,南一,南一,?,翰林
3,台中市,潭子區,翰林,龍騰,?,南一,龍騰,南一,龍騰,南一,?,龍騰
3,台中市,豐原區,翰林,三民,?,翰林,翰林,南一,翰林,龍騰,?,南一
1,台北市,士林區,翰林,其他,龍騰,三民,龍騰,翰林,龍騰,龍騰,翰林,其他
1,台北市,士林區,翰林,龍騰,龍騰,翰林,龍騰,龍騰,翰林,龍騰,南一,其他
1,台北市,士林區,康熹,三民,翰林,龍騰,翰林,翰林,全華,翰林,翰林,康熹
1,台北市,士林區,翰林,三民,龍騰,三民,龍騰,翰林,南一,南一,南一,龍騰
1,台北市,大同區,康熹,龍騰,龍騰,全華,翰林,三民,翰林,龍騰,龍騰,康熹
1,台北市,大同區,翰林,龍騰,龍騰,龍騰,南一,翰林,全華,龍騰,南一,全華
1,台北市,大同區,其他,?,其他,其他,龍騰,翰林,其他,其他,其他,?
1,台北市,大安區,翰林,遠東,龍騰,三民,龍騰,龍騰,龍騰,龍騰,翰林,其他
1,台北市,大安區,翰林,?,翰林,?,翰林,翰林,其他,翰林,翰林,?
1,台北市,大安區,翰林,遠東,南一,南一,南一,龍騰,翰林,泰宇,翰林,龍騰
1,台北市,大安區,康熹,遠東,翰林,三民,翰林,三民,翰林,南一,翰林,龍騰
1,台北市,中山區,翰林,龍騰,龍騰,龍騰,南一,翰林,翰林,翰林,南一,三民
1,台北市,中山區,翰林,三民,全華,翰林,翰林,龍騰,南一,南一,南一,康熹
1,台北市,中山區,南一,龍騰,龍騰,三民,南一,南一,全華,翰林,南一,全華
1,台北市,中山區,翰林,龍騰,龍騰,三民,南一,翰林,龍騰,泰宇,龍騰,全華
1,台北市,中山區,翰林,龍騰,龍騰,三民,南一,翰林,龍騰,泰宇,龍騰,全華
1,台北市,中正區,康熹,三民,其他,龍騰,龍騰,龍騰,龍騰,全華,康熹,三民
1,台北市,中正區,翰林,龍騰,全華,康熹,龍騰,三民,全華,南一,泰宇,全華
1,台北市,內湖區,翰林,龍騰,龍騰,龍騰,龍騰,龍騰,全華,全華,龍騰,康熹
1,台北市,內湖區,翰林,龍騰,龍騰,三民,龍騰,龍騰,龍騰,翰林,翰林,龍騰
1,台北市,內湖區,翰林,遠東,翰林,翰林,龍騰,龍騰,翰林,泰宇,翰林,泰宇
1,台北市,內湖區,康熹,遠東,龍騰,泰宇,南一,龍騰,翰林,泰宇,龍騰,泰宇
1,台北市,內湖區,翰林,三民,龍騰,康熹,南一,龍騰,翰林,泰宇,全華,全華
1,台北市,內湖區,龍騰,三民,龍騰,三民,三民,龍騰,翰林,南一,翰林,泰宇
1,台北市,文山區,翰林,龍騰,龍騰,三民,龍騰,三民,翰林,泰宇,南一,泰宇
1,台北市,文山區,翰林,遠東,翰林,泰宇,翰林,龍騰,龍騰,泰宇,翰林,?
1,台北市,文山區,翰林,遠東,南一,三民,南一,南一,翰林,翰林,南一,三民
1,台北市,文山區,翰林,龍騰,翰林,翰林,龍騰,翰林,翰林,南一,翰林,泰宇
1,台北市,文山區,翰林,三民,龍騰,三民,翰林,翰林,南一,泰宇,泰宇,三民
1,台北市,北投區,翰林,三民,翰林,康熹,翰林,其他,南一,翰林,康熹,全華
1,台北市,北投區,翰林,三民,龍騰,翰林,翰林,龍騰,龍騰,龍騰,龍騰,龍騰
1,台北市,北投區,龍騰,三民,龍騰,三民,龍騰,龍騰,南一,南一,康熹,龍騰
1,台北市,松山區,翰林,其他,南一,翰林,翰林,翰林,翰林,泰宇,泰宇,其他
1,台北市,松山區,龍騰,其他,翰林,翰林,翰林,南一,南一,龍騰,全華,其他
1,台北市,信義區,翰林,三民,龍騰,龍騰,南一,南一,南一,其他,其他,其他
1,台北市,信義區,三民,三民,南一,三民,南一,三民,南一,全華,泰宇,全華
1,台北市,信義區,翰林,遠東,南一,三民,翰林,三民,全華,南一,南一,泰宇
1,台北市,南港區,龍騰,龍騰,龍騰,康熹,翰林,南一,翰林,南一,泰宇,全華
1,台北市,南港區,康熹,三民,龍騰,三民,南一,三民,龍騰,龍騰,康熹,三民
1,台北市,萬華區,三民,龍騰,龍騰,龍騰,龍騰,全華,翰林,泰宇,南一,全華
1,台北市,萬華區,翰林,三民,翰林,龍騰,翰林,龍騰,翰林,翰林,龍騰,三民
1,台北市,萬華區,翰林,遠東,翰林,南一,翰林,南一,南一,南一,翰林,龍騰
2,台北市,士林區,翰林,其他,龍騰,三民,龍騰,龍騰,?,?,?,其他
2,台北市,士林區,南一,龍騰,龍騰,康熹,龍騰,龍騰,?,?,?,泰宇
